key,en,ua,lt
menu,Menu,Меню,Menu
greeting,Hi,Привіт,Labas
name,Name,Назва,
description,Description,Опис,
value,Value,Значення,
speed,Speed,Швидкість,
distance,Distance,Відстань,
energy_cost,Energy Cost,Вартість енергії,
cast_time,Cast Time,Час виклику,
duration,Duration,Тривалість,
cooldown,Cooldown,Час до готовності,
price,Price,Ціна,
quantity,Quantity,Кількість,Kiekis
,,,
skill,Skill,Навичка,
base_value,Base Value,Базове Значення,
base_speed,Base Speed,Базова швидкість,
base_distance,Base Distance,Базова відстань,
base_energy_cost,Base Energy Cost,Базові вартість енергії,
base_cast_time,Base Cast Time,Базовий час виклику,
base_duration,Base Duration,Базова тривалість,
base_cooldown,Base Cooldown,Базовий час до готовності,
skill_price,Skill Price,Базова ціна,
,,,
,,,
,,,
skill_upgrade,Skill Upgrade,Покращення навички,
parameter_name,Parameter Name,Назва параметру,
max_lvl,Max level,Максимальний рівень,
,,,
spark_skill_title,Spark,Іскра,Kibirkštis
spark_skill_description,Spark is esential skill of every wizard. Be like Zeus throw yout sparks on your enemies!,"Іскра - базован навичка гожного мага. Будь як Зевс, закидай ворогів іскрами!","Kibirkštis yra pagrindinis kiekvieno mago įgūdis. Būkite kaip Zeusas, meskite kibirkštis į savo priešus!"
,,,
stone_skill_title,Stone,Камінчик,Akmenis
stone_skill_description,Stones are usefull for building or throwing it. Please try not to throw all of them they are more usefull for small buildings.,"Камінці корисні для будівництва або кидання. Будь ласка, намагайтеся не викидати їх усі, вони більш корисні для невеликих будівель.","Akmenys naudingi statant ar mėtant. Stenkitės neišmesti jų visų, jie yra naudingesni mažiems pastatams."
,,,
crystal_skill_title,Crystal,Crystal,Crystal
crystal_skill_description,Crystals are not very stable and are fuel for powerfull ancient weapons. Try to put in on fireplace or jsust to throw it. Lets see what will happened. ,Crystals are not very stable and are fuel for powerfull ancient weapons. Try to put in on fireplace or jsust to throw it. Lets see what will happened. ,Crystals are not very stable and are fuel for powerfull ancient weapons. Try to put in on fireplace or jsust to throw it. Lets see what will happened. 
,,,
,,,
,,,
aim_skill_title,Zoom in,Приближення,Priartinti
aim_skill_description,Allows player to zoom in enemies and other objects. Uses stamina as main resourse. Good to see you enemies from big distances.,Дозволяє гравцеві збільшувати масштаб ворогів та інших об'єктів. Використовує витривалість як основний ресурс. Приємно бачити ворогів з великої відстані.,Leidžia žaidėjui priartinti priešus ir kitus objektus. Naudoja ištvermę kaip pagrindinį resursą. Smagu matyti jus priešus iš didelių atstumų.
,,,
how_to_use_maintainable,Click and hold mouse button when item in hands (LMB for left hand / RMB for right hand).,"Натисніть і утримуйте кнопку миші, коли предмет у руках (ЛКМ для лівої руки / ПКМ для правої руки).","Spustelėkite ir laikykite pelės mygtuką, kai daiktas yra rankose (LMB kairiajai rankai / RMB dešinei rankai)."
how_to_use_click_consumable,Click LMB or RMB to use when item in one of your hands. Item will be consumed after usage!,"Клацніть ЛКМ або ПКМ, щоб використати предмет у своїх руках. Предмет буде спожито після використання!","Spustelėkite LMB arba RMB, kad naudotumėte, kai prekė yra vienoje iš jūsų rankų. Daiktas bus sunaudota po naudojimo!"
how_to_use_click,Click LMB or RMB to use when item in one of your hands.,"Клацніть ЛКМ або ПКМ, щоб використати предмет у своїх руках.","Spustelėkite LMB arba RMB, kad naudotumėte, kai prekė yra vienoje iš jūsų rankų."
